country,date,infections,infections_new,infections_new_normed,deaths,deaths_new,deaths_per_infection,deaths_per_infection_new,datetime
Saint Vincent and the Grenadines, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
San Marino, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Saudi Arabia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Senegal, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Serbia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Seychelles, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Singapore, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Slovakia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Slovenia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Somalia, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
South Africa, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Spain, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Sri Lanka, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Sudan, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Suriname, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Sweden, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Switzerland, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Syria, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Taiwan*, 1/22/2020,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2020-01-22
Tanzania, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Thailand, 1/22/2020,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2020-01-22
Timor-Leste, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
Togo, 1/22/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-22
