country,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60,Day 61,Day 62,Day 63,Day 64,Day 65,Day 66,Day 67,Day 68,continent
Belgium,50.0,109.0,169.0,200.0,239.0,267.0,314.0,314.0,559.0,689.0,886.0,1058.0,1243.0,1486.0,1795.0,2257.0,2815.0,3401.0,3743.0,4269.0,4937.0,6235.0,7284.0,9134.0,10836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Cyprus,67.0,67.0,84.0,95.0,116.0,124.0,132.0,146.0,162.0,179.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Czechia,91.0,94.0,141.0,189.0,253.0,298.0,396.0,464.0,694.0,833.0,995.0,1120.0,1236.0,1394.0,1654.0,1925.0,2279.0,2631.0,2817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Albania,51.0,55.0,59.0,64.0,70.0,76.0,89.0,104.0,123.0,146.0,174.0,186.0,197.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Kazakhstan,53.0,60.0,62.0,72.0,81.0,111.0,150.0,228.0,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Honduras,52.0,68.0,95.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America
Hungary,50.0,58.0,73.0,85.0,103.0,131.0,167.0,187.0,226.0,261.0,300.0,343.0,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
India,56.0,62.0,73.0,82.0,102.0,113.0,119.0,142.0,156.0,194.0,244.0,330.0,396.0,499.0,536.0,657.0,727.0,887.0,987.0,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Indonesia,69.0,96.0,117.0,134.0,172.0,227.0,311.0,369.0,450.0,514.0,579.0,686.0,790.0,893.0,1046.0,1155.0,1285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Iraq,54.0,60.0,60.0,71.0,71.0,71.0,101.0,110.0,116.0,124.0,154.0,164.0,192.0,208.0,214.0,233.0,266.0,316.0,346.0,382.0,458.0,506.0,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Ireland,90.0,129.0,129.0,169.0,223.0,292.0,557.0,683.0,785.0,906.0,1125.0,1329.0,1564.0,1819.0,2121.0,2415.0,2615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Israel,61.0,61.0,75.0,79.0,100.0,126.0,155.0,213.0,218.0,250.0,304.0,427.0,529.0,712.0,883.0,1071.0,1238.0,2369.0,2693.0,3035.0,3619.0,4247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
