Row Labels, 1/22/2020, 1/23/2020, 1/24/2020, 1/25/2020, 1/26/2020, 1/27/2020, 1/28/2020, 1/29/2020, 1/30/2020, 1/31/2020, 2/1/2020, 2/2/2020, 2/3/2020, 2/4/2020, 2/5/2020, 2/6/2020, 2/7/2020, 2/8/2020, 2/9/2020, 2/10/2020, 2/11/2020, 2/12/2020, 2/13/2020, 2/14/2020, 2/15/2020, 2/16/2020, 2/17/2020, 2/18/2020, 2/19/2020, 2/20/2020, 2/21/2020, 2/22/2020, 2/23/2020, 2/24/2020, 2/25/2020, 2/26/2020, 2/27/2020, 2/28/2020, 2/29/2020, 3/1/2020, 3/2/2020, 3/3/2020, 3/4/2020, 3/5/2020, 3/6/2020, 3/7/2020, 3/8/2020, 3/9/2020, 3/10/2020, 3/11/2020, 3/12/2020, 3/13/2020, 3/14/2020, 3/15/2020, 3/16/2020, 3/17/2020, 3/18/2020, 3/19/2020, 3/20/2020, 3/21/2020, 3/22/2020, 3/23/2020, 3/24/2020, 3/25/2020, 3/26/2020, 3/27/2020, 3/28/2020, 3/29/2020, 3/30/2020, 3/31/2020, 4/1/2020, 4/2/2020, 4/3/2020, 4/4/2020, 4/5/2020, 4/6/2020,country,continent
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.4,0.4,0.2,0.4,0.4,2.4,3.2,4.2,5.4,6.4,6.2,6,5.6,4.2,5.8,4,6.6,9.4,11.6,13.8,13.8,14.6,11.2,Congo (Kinshasa),Africa
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,1.8,1.8,2.4,4.2,3.6,3.4,3.6,4.4,3.8,5.4,8.6,12.4,16.4,18.6,21.6,21.6,22.4,22.8,25.8,27.4,27.4,25.8,23.2,22.4,20.2,20.4,21,21.4,Costa Rica,North America
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0.8,1,1.6,1.6,2.6,1.8,3.8,12.8,14.2,16.4,17.4,15.2,18.4,17.6,16.6,17.8,18.6,10.6,15.4,16.4,Cote d'Ivoire,Africa
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.6,1,1.2,1.2,0.8,1.2,1,0.8,0.8,1,0.6,0.4,0.8,1.6,1.4,4,5.2,7,7.6,9.2,9.8,13.4,15.8,29.8,37.8,46.8,55.4,62.8,57.8,66.4,68.4,66.2,69.6,74.4,75.4,70.8,73.2,67.2,63,Croatia,Europe
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8,0.8,0.8,0.8,0.4,0.6,1.4,2.4,3.4,6,6.6,7.4,8.2,9.2,9,15.8,18.2,22.6,23.8,26.4,22.8,26,23.6,26.8,Cuba,North America
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,1.2,1.2,2.8,4.8,4.6,5.4,8,7,8.2,8.2,10.2,9.8,13.4,11.4,13,12.4,13.4,12.6,18,19.6,23.2,31.6,35.4,36.4,39.2,36.8,Cyprus,Europe
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,1,1.6,2.4,3,3.2,5.2,4.6,5.8,14.6,15,22,31.6,42.4,41.4,60.4,64.6,101,116,139.4,144.8,154.4,140,164.2,186,231.8,279,284.6,269.4,276.6,245.8,245.4,254.8,294.2,255.8,Czechia,Europe
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,0.8,1,2,1.5999999999999999,4,4,6.2,16.2,50.6,84,118.60000000000001,153.39999999999998,148.8,122.2,97.80000000000001,81.60000000000001,62.400000000000006,77.8,92.4,97.4,97.8,91.19999999999999,98.6,105,120.60000000000001,137.2,158.79999999999998,169.20000000000002,178.6,203.2,218,241.4,276.4,302.8,304.40000000000003,Denmark,Europe
Diamond Princess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,12.8,27,27,22.8,22.8,30.8,30,44,55.8,73.4,80.6,69.8,55.8,36,29.8,14,11.4,14.2,14.2,2.8,2.8,2.8,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diamond Princess,Other
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.4,0.4,2,2,2.2,2.2,3,1.4,3.8,4.2,5.2,6.2,6.4,5.8,Djibouti,Africa
